startup_name,yfyi_batch,status,funding_usd,verticals,description,website,corporated,headquarter,founder_team,award,grant_amount_try,first_batch_year
WebGazer,2017,Active,20000,IaaS PaaS,Cloud-based website and server monitoring service,webgazer.io,FALSE,Delaware,"Gökhan Sar?, Muharrem Altan Akdogan",,,2017
Tulpar Arge - Buyan - Burkut,2017,Active,,Military,Hybrid armor and self-repairing material production,tulpartech.com,FALSE,Ankara,"Matin Ghaziani, Enis Ya?ar, Masoud Latifi Navid",Elginkan Vakf? Büyük Ödülü,100000,2017
Kuantek,2017,Active,,"Deeptech, Electronics","IT solution provider for military, industrial, consumer and biomedical markets",kuantek.com.tr,FALSE,Gebze Bili?im Vadisi,"An?l Çelebi, Aysun Ta?yap? Çelebi, Sinem Özer, Ozan Ku?çu",TEB Ödülü,,2017
Pyronome,2017,Active,,IaaS PaaS,Multi-language software development platform,pyronome.com,FALSE,ODTÜ TEKNOKENT,,Savunma Sanayii Müste?arl??? Ödülü,,2017
Eyesoft,2017,Active,,Image process,Eye controlled technology solutions,eyesoft.com.tr,FALSE,ODTÜ TEKNOKENT,"Mehmet Dönmez, Sevilay Sülüno?lu ?mre, Kür?at Ça??ltay, ?evki Kocada?",,,2017
Akıllı BES,2017,Active,,Fintech,Personal smart investment advice platform for pension plans,akillibes.com.tr,FALSE,İstanbul,"Onur Yurtsever, Abdurrahman Be?inci",,,2017
DijiFi - Para Mandal?,2017,Active,,Content,"Online blog producing content focused on technology, life and finance",paramandali.com,FALSE,İstanbul,"Özgür Kara, Öznur Kara",,,2017
Meetinghand,2017,Active,,"Event, SaaS",Conference and event management software,meetinghand.com,FALSE,ODTÜ TEKNOKENT,Esat Arber,,,2017
Udentify,2016,Exit,236000,"Retailtech, Image process, Deeptech, Artificial intelligence",Face recognition and image processing solutions for retail,remvisionlab.com,FALSE,,Can Dörtkarde?ler,,,2016
Sleepi - Talassa,2016,Out of Business,,"Smart home, Internet of things",Smart air purifier,sleepiglobal.com,FALSE,,,"Elginkan Vakf? Büyük Ödülü, Savunma Sanayii Müste?arl??? Ödülü, Halk Oylamas? Birincisi, Arçelik Büyük Ödülü, T-Jump Ventures Born Global Ödülü",155000,2016
Temperfect,2016,Out of Business,,,,,FALSE,,,Halk Oylamas? ?kincisi,3000,2016
Is?teks,2016,Out of Business,,Smart manufacturing,Smart textile products that can be heated under direct current and protect the body from cold by coating fabric fibers with silver nanowires,,FALSE,,,Elginkan Vakf? Teknoloji Büyük Ödülü,15000,2016
Planote,2016,Out of Business,,,,,FALSE,,,Microsoft Büyük Ödülü,,2016
Matmas,2016,Out of Business,,,,,FALSE,,,Halk Oylamas? Üçüncüsü,,2016
GBlock Systems,2016,Out of Business,,"Deeptech, Robotics, Industry40",Warehouse automation system,gblocksystems.com,FALSE,,"Ibrahim An?l Balkan, Emre Minçe, Kür?ad K?l?nç",Elginkan Vakf? ABD Kamp? Ödülü,,2016
Planote,2016,Out of Business,,"Event, Travel",Social travel and event recommendation platform.,planote.com,FALSE,,Irmak Ozonay,Onedio Özel Ödülü,,2016
Wmedya - Ondestek,2016,Out of Business,,Ecommerce,Live support for websites,ondestek.com,FALSE,,,"Siber Güvenlik Ödülü, BEAM Teknoloji Özel Ödülü, Microsoft Büyük Ödülü",,2016
Indisera,2016,Out of Business,,"Big data, SaaS",Social media and SEM analytics,indisera.com,FALSE,,"Bar?? Özayd?n, Ertaç Paprat",TEB Büyük Ödülü,,2016
Momentum Ar-Ge,2016,Out of Business,,"Climatetech, Energy, Cleantech",Small scale wind turbines - Karayel,momentumarge.com.tr,FALSE,,Rahmi Erdem Y?ld?z,Ostim Özel Ödülü,,2016
Deplike,2016,Active,835662,Music,Guitar amp and multi-effects processor for android,deplike.com,FALSE,ODTÜ TEKNOKENT,"Ufuk Polat, Harun Y?lmaz, An?l Mercan","ODTÜ TEKNOKENT Özel Ödülü, Onedio Özel Ödülü",,2016
Otsimo,2016,Active,641180,"Sustainability, Baby toddler, Healthtech",Education app for children who have autism syndrome,otsimo.com,FALSE,Teknopark Ankara,"Zafer Elcik, Sercan De?irmenci","ODTÜ TEKNOKENT Özel Ödülü, Onedio Özel Ödülü",,2016
Limatek Sistem,2016,Active,,Healthtech,Developing r&d project in the field of rehabilitation,limatek.com.tr,FALSE,ODTÜ TEKNOKENT,,,,2016
Cubicl,2016,Active,,SaaS,Task management,cubicl.io,FALSE,ODTÜ TEKNOKENT,Erkan Arslan,,,2016
Inofab Health,2015,Exit,3421280,"Deeptech, Healthtech","Digital health platform consisting of spirometers, smart inhalers",inofab.health,FALSE,ODTÜ TEKNOKENT,"Merthan Öztürk, Kerem Ya?ar",,,2015
Polizom,2015,Out of Business,75000,"Biotech, Deeptech",Drug discovery tool which is 40 times faster than other solutions,polizom.com,FALSE,,Serkan Altunta?,,,2015
Biyoçip Ekibi - Şekerini Bil Projesi,2015,Out of Business,,,,,FALSE,,,Elginkan Vakf? Büyük Ödülü,100000,2015
Scirobot,2015,Out of Business,,,,,FALSE,,,"Intel ABD Kamp? Özel Ödülü, Microsoft Özel Ödülü",,2015
Engelsiz ?novasyon ve Rocketscience,2015,Out of Business,,,,,FALSE,,,IBM Özel Ödülü,,2015
Machina,2015,Out of Business,,,,,FALSE,,,Arçelik ABD Kamp? Özel Ödülü,,2015
Kovan,2015,Out of Business,,,,,FALSE,,,ISSD ABD Kamp? Özel Ödülü,,2015
Footballpreneurs,2015,Out of Business,,,,,FALSE,,,Microsoft Özel Ödülü,,2015
Hidrotürbin,2015,Out of Business,,,,,FALSE,,,YEDA? ABD Kamp? Özel Ödülü,,2015
GEEN,2015,Active,120000,"Biotech, Genetics, Deeptech",Prototyping platform for genetic engineering,geenbio.com,FALSE,İstanbul,"Arda Deniz Dokuzo?lu, Arda Örçen",,,2015
2C Grubu,2014,Out of Business,,Healthtech,,,FALSE,,"Ceren Can, Pelin Koçak, Pelin ?ermikli","Elginkan Vakf? Büyük Ödülü, OSTİM ABD Kamp? Özel Ödülü",125000,2014
